id,program_id,institution_id,category_id,title,slug,short_description,description,price,duration_weeks,difficulty,thumbnail_url,preview_video_url,language,is_published,order_index,created_at,updated_at,deleted_at
1,,51,491,CS50's Introduction to Programming with Scratch,cs50s-introduction-to-programming-with-scratch,CS50's Introduction to Programming with Scratch,,0,3,beginner,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/course/image/8290161d-6419-41c6-87a8-b0fa61b8bb86-eab7d4288e46.png",,id,1,0,2026-05-15 09:00:00,2026-05-15 09:00:00,
2,,51,930,Contract Law: From Trust to Promise to Contract.,contract-law-from-trust-to-promise-to-contract,Contract Law: From Trust to Promise to Contract.,,0,8,intermediate,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/course/image/5f1d3726-e78b-41f9-8e71-b904fddd102e-140b8d4f44ff.jpg",,id,1,0,2026-05-15 09:00:00,2026-05-15 09:00:00,
3,,51,638,CS50's Introduction to Databases with SQL,cs50s-introduction-to-databases-with-sql,CS50's Introduction to Databases with SQL,,0,7,beginner,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/course/image/3e45c431-10df-423e-9f03-fb98b713cd4a-2397c9098976.png",,id,1,0,2026-05-15 09:00:00,2026-05-15 09:00:00,
4,,51,944,Justice,justice,Justice,,0,12,beginner,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/course/image/b7d37bb2-5f79-4792-89e0-cf5ec68203f9-ad98268b4db1.jpg",,id,1,0,2026-05-15 09:00:00,2026-05-15 09:00:00,
5,,51,1080,Managing Happiness,managing-happiness,Managing Happiness,,0,6,beginner,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/course/image/56feae4a-7386-4499-8f1d-cf4b17c6cc87-ef014434d4ee.jpeg",,id,1,0,2026-05-15 09:00:00,2026-05-15 09:00:00,
6,,51,215,Exercising Leadership: Foundational Principles,exercising-leadership-foundational-principles,Exercising Leadership: Foundational Principles,,0,4,beginner,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/course/image/6774d438-134f-4d20-95a2-ea763f59ff23-985bdf6b8a01.png",,id,1,0,2026-05-15 09:00:00,2026-05-15 09:00:00,
7,,51,582,Introduction to Data Science with Python,introduction-to-data-science-with-python,Introduction to Data Science with Python,,0,8,intermediate,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/course/image/c2004e8e-3882-4927-a883-1c5f39a28865-19b5ff5b0248.jpeg",,id,1,0,2026-05-15 09:00:00,2026-05-15 09:00:00,
8,,51,972,Rhetoric: The Art of Persuasive Writing and Public Speaking,rhetoric-the-art-of-persuasive-writing-and-public-speaking,Rhetoric: The Art of Persuasive Writing and Public Speaking,,0,8,beginner,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/course/image/941c1967-d0ee-49bc-b3c5-e6ccf4681f2a-14ac60434ff5.jpeg",,id,1,0,2026-05-15 09:00:00,2026-05-15 09:00:00,
9,,161,1080,The Science of Happiness,the-science-of-happiness,The Science of Happiness,,0,12,beginner,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/course/image/73484215-4007-48cd-ba90-c945cde6030d-0277a3389713.jpg",,id,1,0,2026-05-15 09:00:00,2026-05-15 09:00:00,
10,,51,631,Data Science: R Basics,data-science-r-basics,Data Science: R Basics,,0,8,beginner,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/course/image/91f52ef3-fa3f-4934-9d19-8d5a32635cd4-d99e27f09d19.jpg",,id,1,0,2026-05-15 09:00:00,2026-05-15 09:00:00,
